text,label
Aliens landed in city,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Health ministry releases new guidelines,0
Government hiding secret technology,1
Government announces new policy,0
Time travel proven by YouTuber,1
Health ministry releases new guidelines,0
Aliens landed in city,1
Government announces new policy,0
Miracle cure discovered overnight,1
Education reforms approved,0
Government hiding secret technology,1
Government announces new policy,0
Celebrity replaced by clone,1
Health ministry releases new guidelines,0
Time travel proven by YouTuber,1
Government announces new policy,0
Celebrity replaced by clone,1
Economy shows steady growth,0
Aliens landed in city,1
Government announces new policy,0
Time travel proven by YouTuber,1
Government announces new policy,0
Aliens landed in city,1
Government announces new policy,0
Time travel proven by YouTuber,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Government announces new policy,0
Time travel proven by YouTuber,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Economy shows steady growth,0
Time travel proven by YouTuber,1
Health ministry releases new guidelines,0
Aliens landed in city,1
Education reforms approved,0
Miracle cure discovered overnight,1
Education reforms approved,0
Time travel proven by YouTuber,1
Health ministry releases new guidelines,0
Time travel proven by YouTuber,1
Education reforms approved,0
Time travel proven by YouTuber,1
Government announces new policy,0
Time travel proven by YouTuber,1
Scientists discover new planet,0
Government hiding secret technology,1
Scientists discover new planet,0
Time travel proven by YouTuber,1
Government announces new policy,0
Miracle cure discovered overnight,1
Health ministry releases new guidelines,0
Aliens landed in city,1
Education reforms approved,0
Celebrity replaced by clone,1
Scientists discover new planet,0
Celebrity replaced by clone,1
Education reforms approved,0
Aliens landed in city,1
Education reforms approved,0
Celebrity replaced by clone,1
Health ministry releases new guidelines,0
Miracle cure discovered overnight,1
Education reforms approved,0
Government hiding secret technology,1
Government announces new policy,0
Aliens landed in city,1
Education reforms approved,0
Celebrity replaced by clone,1
Economy shows steady growth,0
Aliens landed in city,1
Scientists discover new planet,0
Time travel proven by YouTuber,1
Government announces new policy,0
Celebrity replaced by clone,1
Scientists discover new planet,0
Miracle cure discovered overnight,1
Economy shows steady growth,0
Time travel proven by YouTuber,1
Scientists discover new planet,0
Celebrity replaced by clone,1
Economy shows steady growth,0
Aliens landed in city,1
Government announces new policy,0
Government hiding secret technology,1
Economy shows steady growth,0
Government hiding secret technology,1
Economy shows steady growth,0
Time travel proven by YouTuber,1
Scientists discover new planet,0
Time travel proven by YouTuber,1
Economy shows steady growth,0
Celebrity replaced by clone,1
Government announces new policy,0
Aliens landed in city,1
Education reforms approved,0
Miracle cure discovered overnight,1
Economy shows steady growth,0
Aliens landed in city,1
Health ministry releases new guidelines,0
Celebrity replaced by clone,1
Health ministry releases new guidelines,0
Time travel proven by YouTuber,1
Government announces new policy,0
Aliens landed in city,1
Government announces new policy,0
Government hiding secret technology,1
Health ministry releases new guidelines,0
Miracle cure discovered overnight,1
Scientists discover new planet,0
Government hiding secret technology,1
Economy shows steady growth,0
Time travel proven by YouTuber,1
Government announces new policy,0
Time travel proven by YouTuber,1
Scientists discover new planet,0
Government hiding secret technology,1
Education reforms approved,0
Celebrity replaced by clone,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Education reforms approved,0
Government hiding secret technology,1
Government announces new policy,0
Miracle cure discovered overnight,1
Scientists discover new planet,0
Miracle cure discovered overnight,1
Government announces new policy,0
Government hiding secret technology,1
Education reforms approved,0
Aliens landed in city,1
Scientists discover new planet,0
Government hiding secret technology,1
Health ministry releases new guidelines,0
Government hiding secret technology,1
Health ministry releases new guidelines,0
Aliens landed in city,1
Government announces new policy,0
Government hiding secret technology,1
Economy shows steady growth,0
Time travel proven by YouTuber,1
Scientists discover new planet,0
Government hiding secret technology,1
Scientists discover new planet,0
Government hiding secret technology,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Government announces new policy,0
Aliens landed in city,1
Health ministry releases new guidelines,0
Celebrity replaced by clone,1
Education reforms approved,0
Government hiding secret technology,1
Government announces new policy,0
Government hiding secret technology,1
Government announces new policy,0
Time travel proven by YouTuber,1
Scientists discover new planet,0
Time travel proven by YouTuber,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Economy shows steady growth,0
Time travel proven by YouTuber,1
Education reforms approved,0
Celebrity replaced by clone,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Economy shows steady growth,0
Celebrity replaced by clone,1
Economy shows steady growth,0
Celebrity replaced by clone,1
Economy shows steady growth,0
Time travel proven by YouTuber,1
Health ministry releases new guidelines,0
Celebrity replaced by clone,1
Health ministry releases new guidelines,0
Celebrity replaced by clone,1
Health ministry releases new guidelines,0
Time travel proven by YouTuber,1
Scientists discover new planet,0
Government hiding secret technology,1
Health ministry releases new guidelines,0
Miracle cure discovered overnight,1
Education reforms approved,0
Celebrity replaced by clone,1
Education reforms approved,0
Aliens landed in city,1
Government announces new policy,0
Time travel proven by YouTuber,1
Health ministry releases new guidelines,0
Miracle cure discovered overnight,1
Education reforms approved,0
Aliens landed in city,1
Health ministry releases new guidelines,0
Government hiding secret technology,1
Health ministry releases new guidelines,0
Time travel proven by YouTuber,1
Government announces new policy,0
Aliens landed in city,1
Health ministry releases new guidelines,0
Celebrity replaced by clone,1
Health ministry releases new guidelines,0
Time travel proven by YouTuber,1
Economy shows steady growth,0
Miracle cure discovered overnight,1
Economy shows steady growth,0
Celebrity replaced by clone,1
Scientists discover new planet,0
Time travel proven by YouTuber,1
Economy shows steady growth,0
Celebrity replaced by clone,1
Government announces new policy,0
